Order_ID,Customer_Name,Region,City,Category,Sub_Category,Product_Name,Sales,Quantity,Discount,Profit,Order_Date,Ship_Date,Payment_Mode
25795,Deepa,North,Chennai,Technology,Binders,Product C,7021.86,2,0.39,1746.53,2022-08-17,2023-01-17,UPI
10860,Arun,North,Mumbai,Furniture,Binders,Product A,322.67,6,0.45,1193.3,2023-10-02,2022-09-20,Cash
86820,Deepa,South,Chennai,Furniture,Phones,Product C,8578.79,6,0.12,1045.09,2022-07-31,2023-01-20,Cash
64886,Deepa,South,Chennai,Furniture,Storage,Product C,6974.53,6,0.1,1263.91,2024-03-07,2023-01-06,UPI
16265,Kumar,West,Chennai,Office Supplies,Storage,Product D,,8,0.0,1572.06,2024-03-01,2022-04-23,Cash
92386,Sneha,South,Bangalore,Office Supplies,Binders,Product B,8376.25,4,0.35,1694.17,2023-05-19,2023-11-09,Card
47194,Priya,South,Bangalore,Technology,Phones,Product A,1314.83,3,0.47,1106.6,2023-05-10,2022-03-20,Cash
97498,Arun,East,Hyderabad,Furniture,Phones,Product A,8242.27,6,0.09,1725.02,2024-05-02,2022-07-30,Cash
54131,Deepa,West,Mumbai,Office Supplies,Phones,Product A,,4,0.32,838.49,2023-11-02,2022-01-15,UPI
70263,Arun,West,Delhi,Furniture,Tables,Product D,8866.69,2,0.37,193.23,2024-05-13,2024-07-11,Card
26023,Sneha,West,Delhi,Office Supplies,Storage,Product D,8877.21,6,0.46,1700.19,2022-08-21,2023-07-26,UPI
51090,Priya,East,Delhi,Office Supplies,Storage,Product D,339.36,5,0.32,,2022-03-12,2024-06-18,Cash
77221,,South,Chennai,Technology,Tables,Product C,3890.37,9,0.49,1765.34,2023-12-18,2024-05-07,Card
74820,Priya,West,Bangalore,Technology,Chairs,Product A,5311.35,6,0.17,-399.58,2022-07-08,2023-07-04,UPI
10769,Rahul,West,Mumbai,Office Supplies,Tables,Product C,6815.76,3,0.17,493.79,2023-10-25,2022-01-27,Cash
69735,Priya,North,Chennai,Technology,Phones,Product A,2933.24,5,0.27,1869.51,2022-01-08,2023-07-02,Card
72955,Kumar,West,Bangalore,Office Supplies,Tables,Product A,2596.21,8,0.19,124.13,2022-11-28,2022-05-22,UPI
74925,Sneha,South,Bangalore,Office Supplies,Phones,Product B,3874.53,9,0.0,1853.84,2023-09-04,2022-10-04,Card
77969,Deepa,South,Mumbai,Furniture,Binders,Product A,5059.29,8,0.37,1884.76,2022-01-16,2023-01-07,Cash
15311,Rahul,North,Mumbai,Technology,Phones,Product D,9516.35,3,0.38,1705.36,2023-10-28,2024-05-25,UPI
93104,Kumar,West,Mumbai,Technology,Storage,Product D,7644.87,9,0.37,909.17,2023-10-31,2022-08-12,Cash
63707,Arun,West,Chennai,Technology,Tables,Product D,4350.28,3,0.17,1117.35,2022-04-03,2022-02-08,Card
95305,Sneha,West,Hyderabad,Furniture,Phones,Product B,638.23,8,0.26,1674.04,2022-09-19,2024-05-26,Cash
38693,Deepa,East,Mumbai,Furniture,Chairs,Product B,1768.35,9,0.18,1439.74,2023-07-03,2022-05-11,Card
81932,Priya,West,Hyderabad,Furniture,Binders,Product C,4613.65,7,0.01,,2022-06-10,2022-11-14,UPI
35658,Deepa,South,Chennai,Technology,Chairs,Product A,,4,0.28,1955.65,2022-12-17,2022-11-21,Cash
94478,Arun,South,Hyderabad,Technology,Chairs,Product A,3868.89,9,0.06,1214.19,2022-06-23,2023-03-11,UPI
28431,Rahul,East,Delhi,Technology,Chairs,Product D,5431.12,3,0.04,1938.7,2022-11-13,2022-08-08,UPI
12747,Rahul,East,Hyderabad,Furniture,Binders,Product D,8928.87,3,0.38,-356.53,2024-07-25,2024-04-28,UPI
69150,Sneha,West,Mumbai,Furniture,Binders,Product D,9146.58,2,0.0,-152.6,2022-01-18,2024-08-01,UPI
75725,Rahul,North,Chennai,Office Supplies,Binders,Product D,2236.17,3,0.48,628.65,2023-05-01,2022-09-07,Cash
94654,Sneha,East,Mumbai,Furniture,Binders,Product D,531.59,1,0.26,462.2,2023-01-02,2022-04-23,Cash
45773,Sneha,East,Delhi,Office Supplies,Chairs,Product D,3123.56,4,0.49,1456.84,2022-12-17,2024-03-28,UPI
